id,timestamp,modelo_llm,modelo_whisper,dispositivo_whisper,dur_audio_entrada_s,n_caracteres_transcripcion,n_tokens_respuesta,ms_stt,ms_llm,ms_tts,ms_io,ms_total,ms_primer_fonema,transcripcion,respuesta
0525d1e2,2026-09-02T03:18:39.826656+00:00,llama3.1:8b,base,cpu,1.091,16,43,337.38,1272.47,1089.51,0.19,2699.67,2699.67,Hola quién eres.,"Soy un anciano guardián de estas tierras, aquí desde hace siglos, y te he estado esperando. ¿Qué es lo que te trae a este lugar tan lejano?"
1ac7af12,2026-09-02T03:18:44.540699+00:00,llama3.1:8b,base,cpu,1.091,16,34,332.24,1212.5,1105.32,0.21,2650.4,2650.4,Hola quién eres.,"Soy el guía del sistema de realidad virtual, estoy aquí para ayudarte a navegar y disfrutar de esta experiencia. ¿Qué deseas hacer primero?"
2e83c346,2026-09-02T03:18:49.211810+00:00,llama3.1:8b,base,cpu,1.091,16,32,392.16,1008.0,1049.0,0.16,2449.45,2449.45,Hola quién eres.,"Soy el guía de este mundo virtual, aquí para ayudarte a navegar por este entorno. ¿Qué deseas hacer en este lugar?"
a1f3c751,2026-09-02T03:18:53.686365+00:00,llama3.1:8b,base,cpu,0.987,16,26,332.16,894.23,1018.64,0.27,2245.44,2245.44,Puedes ayudarla.,¿En qué puedo ayudarte? ¿Necesitas ayuda para encontrar algo o necesitas información sobre algo en particular?
a0b5ec5f,2026-09-02T03:18:57.944891+00:00,llama3.1:8b,base,cpu,1.01,22,48,334.55,1318.07,1113.59,0.32,2766.66,2766.66,que ahí en este lugar.,"Estamos en un antiguo laberinto de piedra, lleno de sombras y silencio. Parece que no ha sido ocupado en siglos, pero hay una sensación de que estamos siendo observados."
229eae94,2026-09-02T03:19:02.726661+00:00,llama3.1:8b,base,cpu,1.01,22,60,337.12,1617.73,1234.32,0.23,3189.52,3189.52,que ahí en este lugar.,"Este edificio parece abandonado desde hace años, solo escucho el canto de los pájaros y el viento que sopla a través de las ventanas rotas. Hay algo que no cuadra, un ambiente pesado y siniestro que no me deja tranquilo"
2b344f00,2026-09-02T03:19:07.962740+00:00,llama3.1:8b,base,cpu,9.729,167,20,523.82,872.71,1079.75,0.41,2476.83,2476.83,"Estuve revisando los planos que mentreaste al comienzo y creo que hay una diferencia  con lo que veo aquí, podías confirmarme cuál de las dos versiones es la correcta.","Lo siento, pero no puedo ayudarte a determinar qué versión es la correcta."
77ca6248,2026-09-02T03:19:12.467138+00:00,llama3.1:8b,base,cpu,3.355,73,54,503.91,1469.04,1330.4,0.25,3303.73,3303.73,¿Cuánto tiempo llevás trabajando a que y qué es lo que haces exactamente?,"Llevo trabajando aquí en la estación de investigación científica durante cinco años, y mi función principal es servir de asistente técnico y de soporte para los científicos y los visitantes que acuden a esta instalación."
13dc83a6,2026-09-02T03:19:17.787324+00:00,llama3.1:8b,base,cpu,1.091,16,51,318.53,1593.76,1304.48,0.24,3217.14,3217.14,Hola quién eres.,"Soy el administrador de este entorno de realidad virtual, mi función es garantizar que la experiencia sea segura y agradable para todos los usuarios. Estoy aquí para ayudarte a navegar y resolver cualquier problema que puedas tener."
a155120c,2026-09-02T03:19:23.024353+00:00,llama3.1:8b,base,cpu,1.01,22,60,355.83,1593.87,1268.76,0.31,3220.07,3220.07,que ahí en este lugar.,"Estamos en una antigua biblioteca abandonada, con estanterías vacías y una atmósfera de silencio y desolación. Hay un suelo de piedra desnudo y las únicas luces son unos débiles faroles que cuelgan del te"
