id,timestamp,modelo_llm,modelo_whisper,dispositivo_whisper,dur_audio_entrada_s,n_caracteres_transcripcion,n_tokens_respuesta,ms_stt,ms_llm,ms_tts,ms_io,ms_total,ms_primer_fonema,transcripcion,respuesta
5762caa5,2026-09-02T03:54:28.502804+00:00,llama3.1:8b,base,cpu,1.091,16,49,370.07,1378.53,1313.78,0.77,3063.36,3063.36,Hola quién eres.,"Soy la guía virtual del museo de arte contemporáneo, aquí para ayudarte a navegar por las exposiciones y proporcionarte información sobre los artistas y sus obras. ¿Qué te gustaría saber o ver primero?"
735ecb54,2026-09-02T03:54:33.612689+00:00,llama3.1:8b,base,cpu,1.091,16,43,442.11,1267.73,1136.15,0.2,2846.32,2846.32,Hola quién eres.,"Soy el guardabosque de este bosque, me he quedado aquí hace años vigilando que nada malo le pase a la naturaleza. ¿Qué buscas en el bosque?"
9b00295b,2026-09-02T03:54:38.482878+00:00,llama3.1:8b,base,cpu,1.091,16,43,354.81,1423.52,1285.03,0.23,3063.8,3063.8,Hola quién eres.,"Soy el administrador de este entorno de realidad virtual, mi función es asegurarme de que todo funcione correctamente y que puedas disfrutar de la experiencia. ¿En qué puedo ayudarte?"
62c9b327,2026-09-02T03:54:43.582266+00:00,llama3.1:8b,base,cpu,0.987,16,27,445.49,865.87,1060.35,0.29,2372.18,2372.18,Puedes ayudarla.,¿En qué puedo ayudarte? ¿Estás perdida en la ciudad virtual o necesitas información sobre alguna zona en particular?
c90a4210,2026-09-02T03:54:47.969399+00:00,llama3.1:8b,base,cpu,1.01,22,51,382.16,1500.41,1173.99,0.18,3056.89,3056.89,que ahí en este lugar.,"Este lugar es un antiguo laboratorio abandonado, lleno de maquinaria y equipos obsoletos. Parece que alguien dejó todo aquí de repente, sin preocuparse por limpiar o deshacerse de nada."
8d23c440,2026-09-02T03:54:53.043415+00:00,llama3.1:8b,base,cpu,1.01,22,54,345.52,1416.48,1195.25,0.19,2957.6,2957.6,que ahí en este lugar.,"Estamos en una antigua biblioteca abandonada, con estanterías rotas y libros esparcidos por el suelo. Hay un aire de misterio en el lugar, como si algo estuviera esperando a ser descubierto."
734c2402,2026-09-02T03:54:58.017655+00:00,llama3.1:8b,base,cpu,9.729,167,43,530.53,1218.22,1167.32,0.36,2916.56,2916.56,"Estuve revisando los planos que mentreaste al comienzo y creo que hay una diferencia  con lo que veo aquí, podías confirmarme cuál de las dos versiones es la correcta.","Lo siento, pero no tengo recuerdo de haber dejado planos ni de haber estado en este lugar antes. ¿Podrías proporcionarme más contexto o detalles sobre lo que estás viendo?"
ba9ee3cb,2026-09-02T03:55:02.952275+00:00,llama3.1:8b,base,cpu,3.355,73,60,467.16,1701.09,1356.93,0.25,3525.56,3525.56,¿Cuánto tiempo llevás trabajando a que y qué es lo que haces exactamente?,"Llevo más de 10 años trabajando en este entorno de realidad virtual, donde me encargo de ayudar a los usuarios a resolver sus problemas y mejorar su experiencia dentro del entorno virtual. Mi función es proporcionar información y apoyo técnico a los desarrolladores y usuarios de"
216cd5b5,2026-09-02T03:55:06.486188+00:00,llama3.1:8b,base,cpu,1.091,16,39,395.31,1046.03,1141.74,0.19,2583.38,2583.38,Hola quién eres.,Soy un guía virtual creado para ayudarte a navegar por este mundo de realidad virtual. Estoy aquí para responder a tus preguntas y proporcionarte información sobre este entorno.
13ae41a7,2026-09-02T03:55:11.087108+00:00,llama3.1:8b,base,cpu,1.01,22,51,366.91,1313.44,1225.35,0.18,2906.03,2906.03,que ahí en este lugar.,"Esto es un antiguo castillo abandonado, rodeado de un bosque oscuro y lleno de misterios. Lo que antes fue un lugar de protección y poder ahora parece estar luchando por sobrevivir."
